+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                   BLUELAGOON|                                                                                                 VODKA 0.96oz BLUECURACAO 0.96oz LEMONADE 3.8oz |    |
|                       GINADO|                                                         GIN 1.4oz ORANGELIQUEUR 0.48oz CRANBERRYJUICE 0.48oz ORANGEJUICE 1.9oz LIMEJUICE 1.4oz |    |
|                    BRAVEBULL|                                                                                                             TEQUILA 2.2oz COFFEELIQUEUR 0.75oz |    |
|                   BLACKMAGIC|                                                                                                 VODKA 2oz COFFEELIQUEUR 0.8oz LEMONJUICE 0.2oz |    |
|                  WHISKEYSOUR|                                                                                                               WHISKEY 1.5oz SWEETANDSOUR 1.5oz |    |
|                      GINSHOT|                                                                                                                                        GIN 2oz |    |
|             CARIBBEANSUNRISE|                                                                                              LIGHTRUM 1.7oz ORANGEJUICE 3.5oz GRENADINE 0.57oz |    |
|                BRITISHCOWBOY|                                                                               GIN 1.9oz GRAPEFRUITJUICE 1.3oz ORANGEJUICE 1.9oz DARKRUM 0.64oz |    |
|                     GUARAGIN|                                                                                                                   GUARANASODA 4.8oz GIN 0.96oz |    |
|           BLACKMAGICWITHLIME|                                                                                                  VODKA 2oz COFFEELIQUEUR 0.8oz LIMEJUICE 0.2oz |    |
| LONGISLANDICEDTEAWITHDARKRUM|                                        VODKA 0.85oz DARKRUM 0.85oz GIN 0.85oz TEQUILA 0.85oz ORANGELIQUEUR 0.85oz COKE 0.21oz SWEETNSOUR 1.3oz |    |
|  LONGBEACHICEDTEAWITHDARKRUM|                                                    VODKA 1.1oz DARKRUM 1.1oz GIN 1.1oz ORANGELIQUEUR 1.1oz TEQUILA 1.1oz CRANBERRYJUICE 0.27oz |    |
|                  VODKAGIMLET|                                                                                                                    VODKA 2.4oz LIMEJUICE 0.6oz |  x |
|                   CAPECODDER|                                                                                                VODKA 2oz CRANBERRYJUICE 3.5oz LIMEJUICE 0.29oz |  x |
|                         COKE|                                                                                                                                     COKE 5.8oz |    |
|                 KAMIKAZESHOT|                                                                                              VODKA 1.5oz ORANGELIQUEUR 0.36oz LIMEJUICE 0.18oz |    |
|     LOUNGELIZARDWITHLIGHTRUM|                                                                                                 AMARETTOLIQUEUR 0.52oz LIGHTRUM 1oz COKE 4.2oz |    |
|                    MARGARITA|                                                                                              TEQUILA 2.9oz LIMEJUICE 1.2oz ORANGELIQUEUR 1.6oz |  x |
|                  PALEBLUEDOT|                                                                                                             IRISHCREAM 4.3oz BLUECURACAO 1.4oz |    |
|                  SCREWDRIVER|                                                                                                                  VODKA 1.9oz ORANGEJUICE 3.8oz |  x |
|              ELECTRICICEDTEA|                                                   TEQUILA 0.82oz VODKA 0.82oz LIGHTRUM 0.82oz GIN 0.82oz BLUECURACAO 0.82oz SWEETANDSOUR 1.6oz |    |
|                       REDRUM|                                                                                                DARKRUM 2.3oz ORANGEJUICE 2.3oz GRENADINE 1.1oz |    |
|                   CUBANSCREW|                                                                                                               LIGHTRUM 1.9oz ORANGEJUICE 3.8oz |    |
|                       GIMLET|                                                                                                                      GIN 2.4oz LIMEJUICE 0.6oz |    |
|              AMARETTOSOURMIX|                                                                                                      AMARETTOLIQUEUR 2.1oz SWEETANDSOUR 0.86oz |    |
|                    GODMOTHER|                                                                                                                  AMARETTOLIQUEUR 1oz VODKA 2oz |    |
|                 MEXICANSCREW|                                                                                                                TEQUILA 1.9oz ORANGEJUICE 3.8oz |  x |
|                 SCALPSUNRISE|                                                                                              GUARANASODA 2.9oz TEQUILA 1.1oz ORANGEJUICE 1.7oz |    |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
